Date,AAPL,AMZN,AVGO,DIA,GOOGL,META,MSFT,NVDA,ONEQ,PINK,QQQ,SPY,TSLA
2023-11-15,187.0934295654297,143.1999969482422,96.0598373413086,344.14715576171875,134.28749084472656,331.71124267578125,367.6606140136719,48.87321472167969,55.30861282348633,24.333967208862305,382.99322509765625,443.6802978515625,242.83999633789062
2023-11-16,188.78515625,142.8300018310547,94.49888610839844,343.90155029296875,136.59176635742188,333.1867980957031,374.1253356933594,49.46503829956055,55.2788200378418,24.423471450805664,383.32098388671875,444.2229919433594,233.58999633789062
2023-11-17,188.76522827148438,145.17999267578125,96.28929901123047,344.0166931152344,134.9757843017578,334.0342712402344,367.83966064453125,49.2830924987793,55.37812042236328,24.52092933654785,383.4103698730469,444.7755126953125,234.3000030517578
2023-11-20,190.51666259765625,146.1300048828125,98.06002044677734,346.0743408203125,135.9134521484375,338.9494323730469,375.3883972167969,50.39375305175781,55.95404052734375,24.6800479888916,388.078369140625,448.19921875,235.60000610351562
2023-11-21,189.71060180664062,143.89999389648438,96.63103485107422,345.38519287109375,136.6316680908203,335.96844482421875,371.0421447753906,49.92889404296875,55.656150817871094,24.742700576782227,385.8238525390625,447.222412109375,241.1999969482422
2023-11-22,190.37733459472656,146.7100067138672,95.72499084472656,347.0982360839844,138.14791870117188,340.46490478515625,375.7961730957031,48.701263427734375,55.9639778137207,24.86302947998047,387.4029541015625,448.9490661621094,234.2100067138672
2023-11-24,189.0438690185547,146.74000549316406,96.40157318115234,348.3189392089844,136.3523712158203,337.2147216796875,375.37841796875,47.76155090332031,55.83489227294922,24.967453002929688,386.85675048828125,449.2253112792969,235.4499969482422
2023-11-27,188.86474609375,147.72999572753906,93.58201599121094,347.846435546875,136.07305908203125,333.6953125,376.552001953125,48.2274055480957,55.84482192993164,24.91275405883789,386.5190734863281,448.4162902832031,236.0800018310547
2023-11-28,189.4717559814453,147.02999877929688,93.19891357421875,348.62420654296875,136.86111450195312,337.9723815917969,380.61981201171875,47.80653381347656,55.98383331298828,24.685020446777344,387.5321044921875,448.86029052734375,246.72000122070312
2023-11-29,188.44679260253906,146.32000732421875,92.65528869628906,349.1558837890625,134.6565704345703,331.20281982421875,376.79071044921875,48.12543869018555,55.83489227294922,24.802370071411133,387.1546936035156,448.5445251464844,244.13999938964844
2023-11-30,189.0239715576172,146.08999633789062,91.16820526123047,354.4229736328125,132.20263671875,326.1679382324219,376.85040283203125,46.75585174560547,55.75545120239258,24.99927520751953,386.1813659667969,450.3106384277344,240.0800018310547
2023-12-01,190.30767822265625,147.02999877929688,91.58872985839844,357.42572021484375,131.5343017578125,323.844970703125,372.47430419921875,46.7508544921875,56.0235481262207,25.326459884643555,387.2838134765625,452.9746398925781,238.8300018310547
2023-12-04,188.50650024414062,144.83999633789062,90.99488067626953,357.0220947265625,128.95069885253906,319.0593566894531,367.133544921875,45.49623107910156,55.616432189941406,25.467676162719727,383.6884765625,450.5967712402344,235.5800018310547
2023-12-05,192.47705078125,146.8800048828125,89.92634582519531,356.3033752441406,130.6664581298828,317.3345642089844,370.4951171875,46.556007385253906,55.735595703125,25.254858016967773,384.6518859863281,450.50799560546875,238.72000122070312
2023-12-06,191.38241577148438,144.52000427246094,88.99272155761719,355.6240234375,129.6988525390625,316.4970703125,366.79534912109375,45.49323654174805,55.43770217895508,25.312536239624023,382.4270935058594,448.69256591796875,239.3699951171875
2023-12-07,193.32290649414062,146.8800048828125,90.82646942138672,356.2245788574219,136.59176635742188,325.609619140625,368.93365478515625,46.586002349853516,56.2022819519043,25.52834129333496,387.77044677734375,452.1162414550781,242.63999938964844
2023-12-08,194.75588989257812,147.4199981689453,92.99702453613281,357.49456787109375,134.6565704345703,331.7511291503906,372.19586181640625,47.49580764770508,56.48031997680664,25.521381378173828,389.4986267089844,454.0599670410156,243.83999633789062
2023-12-11,192.2382049560547,145.88999938964844,101.36212921142578,359.04034423828125,132.96075439453125,324.3035583496094,369.28173828125,46.61699676513672,56.59947967529297,25.62281608581543,392.8258056640625,455.8260803222656,239.74000549316406
2023-12-12,193.7607879638672,147.47999572753906,105.60082244873047,360.733642578125,132.1926727294922,333.21673583984375,372.34503173828125,47.64677810668945,56.947021484375,25.813756942749023,395.954345703125,457.9079284667969,237.00999450683594
2023-12-13,196.9949188232422,148.83999633789062,107.31539916992188,365.9811096191406,132.2425537109375,333.7351379394531,372.3350524902344,48.07768630981445,57.78111267089844,26.61232566833496,400.9898376464844,464.2225341796875,239.2899932861328
2023-12-14,197.14418029785156,147.4199981689453,108.96990203857422,367.54644775390625,131.61410522460938,332.16986083984375,363.9409484863281,48.339622497558594,57.91020202636719,26.711772918701172,400.6422119140625,465.71240234375,251.0500030517578
2023-12-15,196.60682678222656,149.97000122070312,111.2596206665039,367.67767333984375,132.27247619628906,333.9146423339844,368.7148742675781,48.87950897216797,58.131065368652344,26.435306549072266,402.5788879394531,464.9455871582031,253.5
2023-12-18,194.9350128173828,154.07000732421875,112.95943450927734,368.0230407714844,135.46456909179688,343.5854797363281,370.6243896484375,50.066253662109375,58.509124755859375,26.16480827331543,405.1145935058594,467.5609436035156,252.0800018310547
2023-12-19,195.97988891601562,153.7899932861328,112.74474334716797,370.5094909667969,136.3124542236328,349.30828857421875,371.23114013671875,49.59335708618164,58.867279052734375,26.53276824951172,407.1845703125,470.40411376953125,257.2200012207031
2023-12-20,193.88018798828125,152.1199951171875,109.8558349609375,365.8719482421875,137.99827575683594,348.23150634765625,368.60546875,48.10067367553711,57.96193313598633,26.018619537353516,401.1338806152344,463.8856201171875,247.13999938964844
2023-12-21,193.73089599609375,153.83999633789062,111.52882385253906,368.91107177734375,140.07315063476562,353.02703857421875,371.5096130371094,48.9794921875,58.698150634765625,26.520832061767578,405.80126953125,468.28411865234375,254.5
2023-12-22,192.6561737060547,153.4199981689453,111.00347137451172,368.8321228027344,141.14051818847656,352.3291931152344,372.5439147949219,48.81952667236328,58.837432861328125,26.68194007873535,406.4083557128906,469.2252502441406,252.5399932861328
2023-12-26,192.10887145996094,153.41000366210938,111.98392486572266,370.3615417480469,141.17044067382812,353.76483154296875,372.6235046386719,49.26842498779297,59.155799865722656,26.90935707092285,408.8962707519531,471.2065734863281,256.6099853515625
2023-12-27,192.20835876464844,153.33999633789062,111.41801452636719,371.555419921875,140.0232696533203,356.755859375,372.0367126464844,49.406394958496094,59.11600112915039,27.21059226989746,409.7286682128906,472.0585632324219,261.44000244140625
2023-12-28,192.63629150390625,153.3800048828125,111.04601287841797,372.0191650390625,139.8836212158203,357.244384765625,373.2401123046875,49.511375427246094,59.22148895263672,27.36020851135254,409.5295104980469,472.23687744140625,253.17999267578125
2023-12-29,191.5913848876953,151.94000244140625,110.43658447265625,371.861328125,139.34495544433594,352.8974609375,373.9959716796875,49.511375427246094,58.95280075073242,27.270437240600586,407.7571716308594,470.8697509765625,248.47999572753906
2024-01-02,184.73497009277344,149.92999267578125,107.3824462890625,372.0783996582031,137.82870483398438,345.25048828125,368.8540954589844,48.15766525268555,57.858131408691406,27.515810012817383,400.8570251464844,468.23455810546875,248.4199981689453
2024-01-03,183.35174560546875,148.47000122070312,104.7309799194336,369.23663330078125,138.5768585205078,343.4359436035156,368.5855712890625,47.55879592895508,57.27098846435547,27.207597732543945,396.6153564453125,464.4106750488281,238.4499969482422
2024-01-04,181.02317810058594,144.57000732421875,103.78416442871094,369.562255859375,136.05311584472656,346.0780029296875,365.94000244140625,47.98770523071289,56.96249771118164,27.449979782104492,394.5741882324219,462.9147644042969,237.92999267578125
2024-01-05,180.2967071533203,145.24000549316406,103.81088256835938,369.6610107421875,135.3947296142578,350.8935241699219,365.7510681152344,49.086463928222656,56.922691345214844,27.599597930908203,395.0421447753906,463.5487976074219,237.49000549316406
2024-01-08,184.65536499023438,149.10000610351562,106.34066009521484,371.8317565917969,138.49705505371094,357.5833740234375,372.6533508300781,52.241790771484375,58.146724700927734,28.075382232666016,403.2068786621094,470.1663818359375,240.4499969482422
2024-01-09,184.23741149902344,151.3699951171875,107.09651947021484,370.1937255859375,140.6018524169922,356.3570556640625,373.74737548828125,53.12860107421875,58.286048889160156,28.218021392822266,404.0034484863281,469.4530944824219,234.9600067138672
2024-01-10,185.2823028564453,153.72999572753906,106.90656280517578,371.9402770996094,141.92855834960938,369.35791015625,380.68939208984375,54.338340759277344,58.733863830566406,28.38658905029297,406.7415771484375,472.1080627441406,233.94000244140625
2024-01-11,184.68521118164062,155.17999267578125,108.826904296875,372.15740966796875,141.72906494140625,368.5603332519531,382.539306640625,54.810237884521484,58.733863830566406,28.277868270874023,407.58795166015625,471.9000549316406,227.22000122070312
2024-01-12,185.01361083984375,154.6199951171875,109.58869934082031,370.9140930175781,142.29763793945312,373.3658142089844,386.3584289550781,54.69825744628906,58.74381637573242,28.098323822021484,407.7970275878906,472.2269592285156,218.88999938964844
2024-01-16,182.7347869873047,153.16000366210938,110.3089599609375,368.6939697265625,142.13804626464844,366.3569641113281,388.14862060546875,56.369903564453125,58.61444854736328,28.146202087402344,407.7571716308594,470.4932556152344,219.91000366210938
2024-01-17,181.78939819335938,151.7100067138672,109.19197082519531,367.7665100097656,141.12057495117188,367.2641906738281,387.35296630859375,56.04097366333008,58.276100158691406,28.218021392822266,405.4571228027344,467.8779602050781,215.5500030517578
2024-01-18,187.71041870117188,153.5,113.17312622070312,369.8286437988281,143.12559509277344,375.00091552734375,391.72906494140625,57.09474563598633,59.05231475830078,28.158170700073242,411.2122802734375,472.0387268066406,211.8800048828125
2024-01-19,190.62612915039062,155.33999633789062,119.83049011230469,373.78076171875,146.0184326171875,382.2989501953125,396.5030212402344,59.47823715209961,60.04747009277344,28.146202087402344,419.3669738769531,477.9232177734375,212.19000244140625
2024-01-22,192.9447479248047,154.77999877929688,120.75059509277344,375.2320251464844,145.62939453125,380.6339416503906,394.354736328125,59.641204833984375,60.30620574951172,28.37462043762207,419.9146728515625,478.9337158203125,208.8000030517578
2024-01-23,194.22845458984375,156.02000427246094,121.32539367675781,374.2151794433594,146.6768035888672,384.043701171875,396.7317199707031,59.86015701293945,60.5052375793457,28.33771324157715,421.6571044921875,480.3305358886719,209.13999938964844
2024-01-24,193.55178833007812,156.8699951171875,124.05205535888672,373.2772521972656,148.33270263671875,389.52716064453125,400.3718566894531,61.34883499145508,60.70426559448242,28.05742835998535,423.9969787597656,480.8555908203125,207.8300018310547
2024-01-25,193.223388671875,157.75,121.69047546386719,375.6368408203125,151.49485778808594,391.9997253417969,402.6693115234375,61.60377883911133,60.89334487915039,28.053438186645508,424.5147399902344,483.4709167480469,182.6300048828125
2024-01-26,191.48191833496094,159.1199951171875,119.20521545410156,376.2390441894531,151.8140869140625,392.9568786621094,401.7344055175781,61.017906188964844,60.61470413208008,28.198070526123047,421.9856872558594,482.8567199707031,183.25
2024-01-29,190.79530334472656,161.25999450683594,120.48049926757812,378.4307556152344,153.1308135986328,399.8161926269531,407.492919921875,62.45159912109375,61.281455993652344,28.577102661132812,426.3070068359375,486.68060302734375,190.92999267578125
2024-01-30,187.12327575683594,159.0,119.52973175048828,379.59576416015625,151.0858917236328,398.8591003417969,406.3690490722656,62.760528564453125,60.80377960205078,28.49730682373047,423.4692687988281,486.30419921875,191.58999633789062
2024-01-31,183.5010223388672,155.1999969482422,116.74370574951172,376.51544189453125,139.7539520263672,388.9689025878906,395.4189147949219,61.513797760009766,59.42051696777344,28.397560119628906,415.1751403808594,478.3690185546875,187.2899932861328
2024-02-01,185.94903564453125,159.27999877929688,118.72340393066406,380.1980285644531,140.81134033203125,393.5949401855469,401.5852355957031,63.01347732543945,60.226593017578125,28.876340866088867,420.0639953613281,484.6300048828125,188.86000061035156
2024-02-02,184.94395446777344,171.80999755859375,121.13050079345703,381.501220703125,142.0283203125,473.56414794921875,408.98480224609375,66.14580535888672,61.291404724121094,28.916236877441406,427.163330078125,489.7319030761719,187.91000366210938
2024-02-05,186.76504516601562,170.30999755859375,122.98652648925781,378.6973571777344,143.32510375976562,458.0309143066406,403.445068359375,69.31713104248047,61.25160217285156,29.095781326293945,426.6057434082031,487.9486999511719,181.05999755859375
2024-02-06,188.37713623046875,169.14999389648438,120.96330261230469,380.17822265625,143.7440643310547,453.3550109863281,403.285888671875,68.20836639404297,61.20184326171875,29.43491554260254,425.7494201660156,489.3653564453125,185.10000610351562
2024-02-07,188.48660278320312,170.52999877929688,124.36766815185547,381.748046875,145.1804962158203,468.18035888671875,411.79937744140625,70.08395385742188,61.80888748168945,29.514713287353516,430.1304626464844,493.44683837890625,187.5800018310547
2024-02-08,187.40191650390625,169.83999633789062,126.11881256103516,382.41937255859375,145.54959106445312,468.5891418457031,411.8590393066406,69.62605285644531,61.95815658569336,29.5346622467041,430.9270324707031,493.664794921875,189.55999755859375
2024-02-09,188.1691436767578,174.4499969482422,126.97757720947266,381.7973327636719,148.63197326660156,466.7048034667969,418.2640380859375,72.11752319335938,62.724422454833984,29.5346622467041,435.1686706542969,496.5179138183594,193.57000732421875
2024-02-12,186.4752655029297,172.33999633789062,125.15321350097656,383.1697082519531,147.16558837890625,467.492431640625,413.0028381347656,72.23249816894531,62.57514953613281,29.442893981933594,433.4660339355469,496.2999572753906,188.1300048828125
2024-02-13,184.37286376953125,168.63999938964844,123.83242797851562,377.94708251953125,144.781494140625,458.7388000488281,404.1114196777344,72.11251831054688,61.52029037475586,29.15562629699707,426.70526123046875,489.4643859863281,184.02000427246094
2024-02-14,183.48606872558594,170.97999572753906,124.878173828125,379.3983459472656,145.5795135498047,471.8592834472656,408.0173034667969,73.88414764404297,62.23680114746094,29.256370544433594,431.35516357421875,493.9124450683594,188.7100067138672
2024-02-15,183.19712829589844,169.8000030517578,125.16014099121094,383.30792236328125,142.4173583984375,482.5770263671875,405.09783935546875,72.64241027832031,62.43583297729492,29.620441436767578,432.6396179199219,497.3203430175781,200.4499969482422
2024-02-16,181.65269470214844,169.50999450683594,123.22199249267578,381.8760681152344,140.17291259765625,471.899169921875,402.6068420410156,72.59741973876953,61.94820785522461,29.983516693115234,428.7165832519531,494.8436584472656,199.9499969482422
2024-02-20,180.90541076660156,167.0800018310547,121.3491439819336,381.3816833496094,140.77142333984375,470.3338623046875,401.3414001464844,69.43709564208984,61.39091873168945,30.033390045166016,425.4805908203125,492.119384765625,193.75999450683594
2024-02-21,181.66268920898438,168.58999633789062,121.43819427490234,381.7376403808594,142.19790649414062,467.1201477050781,400.73358154296875,67.45752716064453,61.122230529785156,29.923667907714844,423.77789306640625,492.56512451171875,194.77000427246094
2024-02-22,183.70526123046875,174.5800018310547,129.10073852539062,386.177490234375,143.7340850830078,485.1849670410156,410.1695251464844,78.52114868164062,62.84384536743164,30.073286056518555,436.1842956542969,502.7590026855469,197.41000366210938
2024-02-23,181.86196899414062,174.99000549316406,128.25680541992188,386.90924072265625,143.6044158935547,483.08905029296875,408.8642578125,78.80008697509766,62.78413772583008,30.273775100708008,434.89984130859375,503.1057434082031,191.97000122070312
2024-02-26,180.50686645507812,174.72999572753906,129.51922607421875,386.3455505371094,137.23019409179688,480.8034973144531,406.0743408203125,79.07503509521484,62.70452117919922,30.143108367919922,434.6708068847656,501.26312255859375,199.39999389648438
2024-02-27,181.9715576171875,173.5399932861328,128.24295043945312,385.30731201171875,138.53697204589844,486.1031494140625,406.0145263671875,78.68411254882812,62.79408264160156,30.245845794677734,435.7163391113281,502.1943359375,199.72999572753906
2024-02-28,180.7659149169922,173.16000366210938,127.56922149658203,385.24798583984375,136.0431365966797,483.07904052734375,406.253662109375,77.6463394165039,62.53534698486328,29.89374351501465,433.3963317871094,501.5306091308594,202.0399932861328
2024-02-29,180.09832763671875,176.75999450683594,128.66441345214844,385.59405517578125,138.1179962158203,489.17718505859375,412.15240478515625,79.09502410888672,63.14238739013672,29.724178314208984,437.1103210449219,503.3336181640625,201.8800048828125
2024-03-01,179.01226806640625,178.22000122070312,138.42738342285156,386.9388732910156,136.80125427246094,501.323486328125,414.00567626953125,82.26134490966797,63.78923416137695,30.083261489868164,443.69183349609375,508.05902099609375,202.63999938964844
2024-03-04,174.4687042236328,177.5800018310547,138.7330780029297,385.8710021972656,133.0206298828125,497.2215270996094,413.42779541015625,85.21871185302734,63.610107421875,30.123159408569336,442.1086730957031,507.51416015625,188.13999938964844
2024-03-05,169.50665283203125,174.1199951171875,132.84542846679688,381.8760681152344,132.34230041503906,489.2669982910156,401.2018737792969,85.9495849609375,62.495540618896484,29.624433517456055,434.1729736328125,502.4420166015625,180.74000549316406
2024-03-06,168.51026916503906,173.50999450683594,133.56271362304688,382.8550109863281,131.07542419433594,495.1255798339844,400.6438903808594,88.68512725830078,62.89360427856445,29.664329528808594,436.9012145996094,504.9880065917969,176.5399932861328
2024-03-07,168.3907012939453,176.82000732421875,139.20301818847656,384.11083984375,134.04808044433594,511.1943054199219,407.6686096191406,92.65345764160156,63.79918670654297,29.913694381713867,443.53253173828125,510.0007019042969,178.64999389648438
2024-03-08,170.1144561767578,175.35000610351562,129.47865295410156,383.6559753417969,135.07553100585938,504.9664611816406,404.7590637207031,87.5133285522461,63.16229248046875,29.913694381713867,437.1302185058594,506.93963623046875,175.33999633789062
2024-03-11,172.12718200683594,171.9600067138672,127.93527221679688,384.0811767578125,137.3299560546875,482.6498718261719,403.0651550292969,85.7596206665039,62.943359375,29.624433517456055,435.50726318359375,506.50372314453125,177.77000427246094
2024-03-12,172.60543823242188,175.38999938964844,127.81258392333984,386.4247131347656,138.15789794921875,498.7784729003906,413.7864685058594,91.89759063720703,63.79918670654297,29.8438720703125,441.750244140625,511.9523620605469,177.5399932861328
2024-03-13,170.51303100585938,176.55999755859375,124.44780731201172,386.8499450683594,139.44471740722656,494.6065979003906,413.6071472167969,90.87276458740234,63.44093322753906,29.873794555664062,438.35491943359375,511.1498718261719,169.47999572753906
2024-03-14,172.37628173828125,178.75,124.88311767578125,385.7127380371094,142.7465362548828,490.8738708496094,423.69073486328125,87.92925262451172,63.261802673339844,29.714204788208008,437.2497253417969,510.1394348144531,162.5
2024-03-15,171.99765014648438,174.4199981689453,122.234619140625,383.5945739746094,140.83126831054688,483.1589050292969,414.9223937988281,87.822265625,62.63574981689453,29.813947677612305,432.05218505859375,506.63653564453125,163.57000732421875
